| end of epoch 333 | time:  9.10s | valid loss  4.61 | valid ppl   100.39
| end of epoch 334 | time:  9.10s | valid loss  4.64 | valid ppl   103.32
| end of epoch 335 | time:  9.19s | valid loss  4.70 | valid ppl   110.20
| end of epoch 336 | time:  9.17s | valid loss  4.65 | valid ppl   104.33
| end of epoch 337 | time:  9.12s | valid loss  4.64 | valid ppl   103.61
| end of epoch 338 | time:  9.12s | valid loss  4.65 | valid ppl   104.27
| end of epoch 339 | time:  9.14s | valid loss  4.65 | valid ppl   104.63
| end of epoch 340 | time:  9.15s | valid loss  4.57 | valid ppl    96.96
| end of epoch 341 | time:  9.13s | valid loss  4.65 | valid ppl   104.64
| end of epoch 342 | time:  9.13s | valid loss  4.69 | valid ppl   109.00
| end of epoch 343 | time:  9.12s | valid loss  4.70 | valid ppl   109.62
| end of epoch 344 | time:  9.15s | valid loss  4.67 | valid ppl   106.31
| end of epoch 345 | time:  9.14s | valid loss  4.59 | valid ppl    98.95
| end of epoch 346 | time:  9.15s | valid loss  4.64 | valid ppl   103.20
| end of epoch 347 | time:  9.14s | valid loss  4.70 | valid ppl   109.89
| end of epoch 348 | time:  9.13s | valid loss  4.62 | valid ppl   101.72
| end of epoch 349 | time:  9.14s | valid loss  4.65 | valid ppl   105.04
| end of epoch 350 | time:  9.12s | valid loss  4.58 | valid ppl    97.66
| end of epoch 351 | time:  9.16s | valid loss  4.59 | valid ppl    98.89
| end of epoch 352 | time:  9.19s | valid loss  4.63 | valid ppl   102.05
| end of epoch 353 | time:  9.14s | valid loss  4.62 | valid ppl   101.48
| end of epoch 354 | time:  9.14s | valid loss  4.63 | valid ppl   102.86
| end of epoch 355 | time:  9.13s | valid loss  4.62 | valid ppl   101.26
| end of epoch 356 | time:  9.11s | valid loss  4.66 | valid ppl   105.15
| end of epoch 357 | time:  9.08s | valid loss  4.62 | valid ppl   101.51
| end of epoch 358 | time:  9.17s | valid loss  4.66 | valid ppl   105.33
| end of epoch 359 | time:  9.16s | valid loss  4.65 | valid ppl   104.69
| end of epoch 360 | time:  9.17s | valid loss  4.65 | valid ppl   104.58
